Topic,Division,Document No,Decision No
Anonim şirket genel kurul kararı geçersizdir,11. Hukuk Dairesi, 20182321,20198254
Anonim şirket genel kurul kararı geçersizdir,11. Hukuk Dairesi, 20183238,2020375
Anonim şirket genel kurul kararı geçersizdir,11. Hukuk Dairesi, 20183475,20195296
Anonim şirket genel kurul kararı geçersizdir,11. Hukuk Dairesi, 2018835,20195869
Anonim şirket genel kurul kararı geçersizdir,11. Hukuk Dairesi, 20191802,20203601
Anonim şirket genel kurul kararı geçersizdir,11. Hukuk Dairesi, 20192293,2021275
Anonim şirket genel kurul kararı geçersizdir,11. Hukuk Dairesi, 2019400,20197284
Anonim şirket genel kurul kararı geçersizdir,11. Hukuk Dairesi, 20201553,20211981
Anonim şirket genel kurul kararı geçersizdir,11. Hukuk Dairesi, 20202177,20214960
Anonim şirket genel kurul kararı geçersizdir,11. Hukuk Dairesi, 2020537,20205167
Boşanmak isteyen eş diğer eşten daha fazla kusurludur,2. Hukuk Dairesi, 20216105,20217542
Boşanmak isteyen eş diğer eşten daha fazla kusurludur,2. Hukuk Dairesi, 20217286,20218751
Boşanmak isteyen eş diğer eşten daha fazla kusurludur,Hukuk Genel Kurulu, 20172411,2021995
Boşanmak isteyen eş diğer eşten daha fazla kusurludur,Hukuk Genel Kurulu, 20172413,2021996
Boşanmak isteyen eş diğer eşten daha fazla kusurludur,Hukuk Genel Kurulu, 20172647,20211161
Boşanmak isteyen eş diğer eşten daha fazla kusurludur,Hukuk Genel Kurulu, 20172670,20211052
Boşanmak isteyen eş diğer eşten daha fazla kusurludur,Hukuk Genel Kurulu, 20172714,2021809
Boşanmak isteyen eş diğer eşten daha fazla kusurludur,Hukuk Genel Kurulu, 20173156,20211209
Boşanmak isteyen eş diğer eşten daha fazla kusurludur,Hukuk Genel Kurulu, 20173177,20211162
Boşanmak isteyen eş diğer eşten daha fazla kusurludur,Hukuk Genel Kurulu, 201811,20211362
Bu davranış hakkın kötüye kullanılması niteliğindedir,10. Hukuk Dairesi, 20211633,202111758
Bu davranış hakkın kötüye kullanılması niteliğindedir,10. Hukuk Dairesi, 20214964,202111720
Bu davranış hakkın kötüye kullanılması niteliğindedir,10. Hukuk Dairesi, 2021597,202111846
Bu davranış hakkın kötüye kullanılması niteliğindedir,10. Hukuk Dairesi, 20216643,202111634
Bu davranış hakkın kötüye kullanılması niteliğindedir,10. Hukuk Dairesi, 20217072,202111762
Bu davranış hakkın kötüye kullanılması niteliğindedir,10. Hukuk Dairesi, 2021879,202111844
Bu davranış hakkın kötüye kullanılması niteliğindedir,6. Hukuk Dairesi, 20212738,20212100
Bu davranış hakkın kötüye kullanılması niteliğindedir,6. Hukuk Dairesi, 20215131,20212202
Bu davranış hakkın kötüye kullanılması niteliğindedir,6. Hukuk Dairesi, 2021965,2021245
Bu davranış hakkın kötüye kullanılması niteliğindedir,6. Hukuk Dairesi, 2021975,20211515
Dava konusu işlem muvazaalıdır,1. Hukuk Dairesi, 201317050,20145427
Dava konusu işlem muvazaalıdır,1. Hukuk Dairesi, 20182359,20203497
Dava konusu işlem muvazaalıdır,1. Hukuk Dairesi, 20203947,20217397
Dava konusu işlem muvazaalıdır,1. Hukuk Dairesi, 20217693,20217394
Dava konusu işlem muvazaalıdır,1. Hukuk Dairesi, 20218344,20217404
Dava konusu işlem muvazaalıdır,17. Hukuk Dairesi, 20132949,20149206
Dava konusu işlem muvazaalıdır,17. Hukuk Dairesi, 201515119,20183282
Dava konusu işlem muvazaalıdır,17. Hukuk Dairesi, 20162702,20187165
Dava konusu işlem muvazaalıdır,4. Hukuk Dairesi, 2020838,20203926
Dava konusu işlem muvazaalıdır,Hukuk Genel Kurulu, 20172249,2021146
Dava konusu olayda uyarlamanın koşulları oluşmuştur,11. Hukuk Dairesi, 200110788,20022578
Dava konusu olayda uyarlamanın koşulları oluşmuştur,11. Hukuk Dairesi, 201216553,20136400
Dava konusu olayda uyarlamanın koşulları oluşmuştur,11. Hukuk Dairesi, 201311032,20141462
Dava konusu olayda uyarlamanın koşulları oluşmuştur,11. Hukuk Dairesi, 20142827,201411356
Dava konusu olayda uyarlamanın koşulları oluşmuştur,11. Hukuk Dairesi, 20151611,201513900
Dava konusu olayda uyarlamanın koşulları oluşmuştur,11. Hukuk Dairesi, 20162616,20172131
Dava konusu olayda uyarlamanın koşulları oluşmuştur,11. Hukuk Dairesi, 20193113,20197489
Dava konusu olayda uyarlamanın koşulları oluşmuştur,11. Hukuk Dairesi, 20201968,20211443
Dava konusu olayda uyarlamanın koşulları oluşmuştur,11. Hukuk Dairesi, 20204407,20216580
Dava konusu olayda uyarlamanın koşulları oluşmuştur,3. Hukuk Dairesi, 201222344,201226304
Dava konusu taşınmaz fiilen bölünerek kullanılmaktadır,1. Hukuk Dairesi, 20213093,20216174
Dava konusu taşınmaz fiilen bölünerek kullanılmaktadır,7. Hukuk Dairesi, 20211267,20212836
Dava konusu taşınmaz fiilen bölünerek kullanılmaktadır,7. Hukuk Dairesi, 2021279,20211253
Dava konusu taşınmaz fiilen bölünerek kullanılmaktadır,7. Hukuk Dairesi, 20213220,20212978
Dava konusu taşınmaz fiilen bölünerek kullanılmaktadır,7. Hukuk Dairesi, 2021365,20211437
Dava konusu taşınmaz fiilen bölünerek kullanılmaktadır,7. Hukuk Dairesi, 20214155,20211561
Dava konusu taşınmaz fiilen bölünerek kullanılmaktadır,7. Hukuk Dairesi, 2021600,20211189
Dava konusu taşınmaz fiilen bölünerek kullanılmaktadır,7. Hukuk Dairesi, 2021635,20212243
Dava konusu taşınmaz fiilen bölünerek kullanılmaktadır,7. Hukuk Dairesi, 2021737,20212544
Dava konusu taşınmaz fiilen bölünerek kullanılmaktadır,7. Hukuk Dairesi, 2021893,20213332
Davacının kişilik hakları ihlal edilmiştir,2. Hukuk Dairesi, 20216847,20218479
Davacının kişilik hakları ihlal edilmiştir,2. Hukuk Dairesi, 20216848,20218480
Davacının kişilik hakları ihlal edilmiştir,2. Hukuk Dairesi, 20217152,20218397
Davacının kişilik hakları ihlal edilmiştir,2. Hukuk Dairesi, 20217186,20218365
Davacının kişilik hakları ihlal edilmiştir,4. Hukuk Dairesi, 201415418,201512814
Davacının kişilik hakları ihlal edilmiştir,4. Hukuk Dairesi, 20163014,20181054
Davacının kişilik hakları ihlal edilmiştir,4. Hukuk Dairesi, 2017109,20195036
Davacının kişilik hakları ihlal edilmiştir,4. Hukuk Dairesi, 20183987,20193708
Davalının taşınmazı iyiniyetle edindiğinin kabulü gerekir,1. Hukuk Dairesi, 201517619,20187357
Davalının taşınmazı iyiniyetle edindiğinin kabulü gerekir,1. Hukuk Dairesi, 201614360,2020589
Davalının taşınmazı iyiniyetle edindiğinin kabulü gerekir,1. Hukuk Dairesi, 20167463,20182029
Davalının taşınmazı iyiniyetle edindiğinin kabulü gerekir,1. Hukuk Dairesi, 20172864,20202392
Davalının taşınmazı iyiniyetle edindiğinin kabulü gerekir,1. Hukuk Dairesi, 20175187,20202642
Davalının taşınmazı iyiniyetle edindiğinin kabulü gerekir,1. Hukuk Dairesi, 20183447,20206394
Davalının taşınmazı iyiniyetle edindiğinin kabulü gerekir,1. Hukuk Dairesi, 20183971,20206726
Davalının taşınmazı iyiniyetle edindiğinin kabulü gerekir,1. Hukuk Dairesi, 2019452,2020771
Davalının taşınmazı iyiniyetle edindiğinin kabulü gerekir,1. Hukuk Dairesi, 20201826,20212698
Davalının taşınmazı iyiniyetle edindiğinin kabulü gerekir,1. Hukuk Dairesi, 20217322,20216901
Mahkemece belirlenen nafaka miktarı yetersizdir,2. Hukuk Dairesi, 20217851,20219469
Mahkemece belirlenen nafaka miktarı yetersizdir,2. Hukuk Dairesi, 20218739,20219955
Mahkemece belirlenen nafaka miktarı yetersizdir,3. Hukuk Dairesi, 201312156,201314691
Mahkemece belirlenen nafaka miktarı yetersizdir,3. Hukuk Dairesi, 201318680,20142748
Mahkemece belirlenen nafaka miktarı yetersizdir,3. Hukuk Dairesi, 201411016,201414886
Mahkemece belirlenen nafaka miktarı yetersizdir,3. Hukuk Dairesi, 201413403,2015266
Mahkemece belirlenen nafaka miktarı yetersizdir,3. Hukuk Dairesi, 201413415,2015270
Mahkemece belirlenen nafaka miktarı yetersizdir,3. Hukuk Dairesi, 201421088,20156079
Mahkemece belirlenen nafaka miktarı yetersizdir,3. Hukuk Dairesi, 20149590,201415179
Mahkemece belirlenen nafaka miktarı yetersizdir,3. Hukuk Dairesi, 201514788,201520779
Mahkemece hükmedilen manevi tazminat miktarı çok yüksektir,10. Hukuk Dairesi, 20206742,20206826
Mahkemece hükmedilen manevi tazminat miktarı çok yüksektir,10. Hukuk Dairesi, 20206902,20205289
Mahkemece hükmedilen manevi tazminat miktarı çok yüksektir,10. Hukuk Dairesi, 20207072,20207833
Mahkemece hükmedilen manevi tazminat miktarı çok yüksektir,4. Hukuk Dairesi, 201218732,201316527
Mahkemece hükmedilen manevi tazminat miktarı çok yüksektir,4. Hukuk Dairesi, 20191462,20213088
Mahkemece hükmedilen manevi tazminat miktarı çok yüksektir,4. Hukuk Dairesi, 20201137,20203057
Mahkemece hükmedilen manevi tazminat miktarı çok yüksektir,4. Hukuk Dairesi, 20201865,20211261
Mahkemece hükmedilen manevi tazminat miktarı çok yüksektir,4. Hukuk Dairesi, 2020639,20213449
Mahkemece hükmedilen manevi tazminat miktarı çok yüksektir,4. Hukuk Dairesi, 202120524,20218418
Mahkemece hükmedilen manevi tazminat miktarı çok yüksektir,4. Hukuk Dairesi, 2021496,20213865
Maktulün elbisesinde kan izlerine rastlanmıştır,6. Ceza Dairesi, 201215602,201539054
Maktulün elbisesinde kan izlerine rastlanmıştır,6. Ceza Dairesi, 201328985,20161330
Maktulün elbisesinde kan izlerine rastlanmıştır,6. Ceza Dairesi, 201329426,2016509
Maktulün elbisesinde kan izlerine rastlanmıştır,6. Ceza Dairesi, 20141946,2017652
Maktulün elbisesinde kan izlerine rastlanmıştır,6. Ceza Dairesi, 20148517,20174754
Maktulün elbisesinde kan izlerine rastlanmıştır,6. Ceza Dairesi, 20155596,20185655
Maktulün elbisesinde kan izlerine rastlanmıştır,6. Ceza Dairesi, 20164466,2017375
Maktulün elbisesinde kan izlerine rastlanmıştır,6. Ceza Dairesi, 202122427,202116808
Maktulün elbisesinde kan izlerine rastlanmıştır,6. Ceza Dairesi, 20212298,202116806
Olayda dolandırıcılık suçunun unsurları oluşmuştur,11. Ceza Dairesi, 20182785,20215144
Olayda dolandırıcılık suçunun unsurları oluşmuştur,11. Ceza Dairesi, 20186169,20213210
Olayda dolandırıcılık suçunun unsurları oluşmuştur,11. Ceza Dairesi, 20202223,20215734
Olayda dolandırıcılık suçunun unsurları oluşmuştur,11. Ceza Dairesi, 20205119,20215076
Olayda dolandırıcılık suçunun unsurları oluşmuştur,11. Ceza Dairesi, 202112916,20219227
Olayda dolandırıcılık suçunun unsurları oluşmuştur,11. Ceza Dairesi, 202113409,20216456
Olayda dolandırıcılık suçunun unsurları oluşmuştur,11. Ceza Dairesi, 202119608,20218033
Olayda dolandırıcılık suçunun unsurları oluşmuştur,11. Ceza Dairesi, 202126187,20218562
Olayda dolandırıcılık suçunun unsurları oluşmuştur,11. Ceza Dairesi, 202135122,20217753
Olayda dolandırıcılık suçunun unsurları oluşmuştur,11. Ceza Dairesi, 20215981,20214936
Sahte belgenin aldatma yeteneği bulunmaktadır,11. Ceza Dairesi, 201910143,202110984
Sahte belgenin aldatma yeteneği bulunmaktadır,11. Ceza Dairesi, 20191681,202110098
Sahte belgenin aldatma yeteneği bulunmaktadır,11. Ceza Dairesi, 2019501,20218865
Sahte belgenin aldatma yeteneği bulunmaktadır,11. Ceza Dairesi, 201951,20218859
Sahte belgenin aldatma yeteneği bulunmaktadır,11. Ceza Dairesi, 202113319,20218031
Sahte belgenin aldatma yeteneği bulunmaktadır,11. Ceza Dairesi, 202120352,20218863
Sahte belgenin aldatma yeteneği bulunmaktadır,11. Ceza Dairesi, 202122918,20218369
Sahte belgenin aldatma yeteneği bulunmaktadır,11. Ceza Dairesi, 202136830,20219090
Sahte belgenin aldatma yeteneği bulunmaktadır,11. Ceza Dairesi, 202137425,20217726
Sahte belgenin aldatma yeteneği bulunmaktadır,11. Ceza Dairesi, 20218343,20218323
Sanık haberleşmenin gizliliğini ihlal etmiştir,5. Ceza Dairesi, 20201857,202010149
Sanık haberleşmenin gizliliğini ihlal etmiştir,5. Ceza Dairesi, 20201865,202010480
Sanık haberleşmenin gizliliğini ihlal etmiştir,5. Ceza Dairesi, 20201872,202010482
Sanık haberleşmenin gizliliğini ihlal etmiştir,5. Ceza Dairesi, 20211265,20213518
Sanık haberleşmenin gizliliğini ihlal etmiştir,5. Ceza Dairesi, 20211749,20214024
Sanık haberleşmenin gizliliğini ihlal etmiştir,5. Ceza Dairesi, 20212438,20217160
Sanık haberleşmenin gizliliğini ihlal etmiştir,5. Ceza Dairesi, 20212652,20213103
Sanık haberleşmenin gizliliğini ihlal etmiştir,5. Ceza Dairesi, 20212653,20213104
Sanık haberleşmenin gizliliğini ihlal etmiştir,5. Ceza Dairesi, 2021307,20212870
Sanık haberleşmenin gizliliğini ihlal etmiştir,5. Ceza Dairesi, 2021643,20213328
Sanık lehine mevcut takdiri indirim sebepleri uygulanmamıştır,6. Ceza Dairesi, 20192062,20213630
Sanık lehine mevcut takdiri indirim sebepleri uygulanmamıştır,6. Ceza Dairesi, 2019787,20213320
Sanık lehine mevcut takdiri indirim sebepleri uygulanmamıştır,6. Ceza Dairesi, 202010083,202111066
Sanık lehine mevcut takdiri indirim sebepleri uygulanmamıştır,6. Ceza Dairesi, 202010497,202112079
Sanık lehine mevcut takdiri indirim sebepleri uygulanmamıştır,6. Ceza Dairesi, 20209785,20211141
Sanık lehine mevcut takdiri indirim sebepleri uygulanmamıştır,6. Ceza Dairesi, 20209869,202111166
Sanık lehine mevcut takdiri indirim sebepleri uygulanmamıştır,6. Ceza Dairesi, 202114897,202112523
Sanık lehine mevcut takdiri indirim sebepleri uygulanmamıştır,6. Ceza Dairesi, 202114990,202115612
Sanık lehine mevcut takdiri indirim sebepleri uygulanmamıştır,6. Ceza Dairesi, 202124302,202120259
Sanık lehine mevcut takdiri indirim sebepleri uygulanmamıştır,6. Ceza Dairesi, 20214581,202120542
Sanık suçu haksız tahrik koşulları altında işlemiştir,6. Ceza Dairesi, 202111365,202118421
Sanık suçu haksız tahrik koşulları altında işlemiştir,6. Ceza Dairesi, 202113616,202120518
Sanık suçu haksız tahrik koşulları altında işlemiştir,6. Ceza Dairesi, 202114955,202119145
Sanık suçu haksız tahrik koşulları altında işlemiştir,6. Ceza Dairesi, 202117204,202120232
Sanık suçu haksız tahrik koşulları altında işlemiştir,6. Ceza Dairesi, 202119657,202119985
Sanık suçu haksız tahrik koşulları altında işlemiştir,6. Ceza Dairesi, 202123318,202117630
Sanık suçu haksız tahrik koşulları altında işlemiştir,6. Ceza Dairesi, 202123598,202117540
Sanık suçu haksız tahrik koşulları altında işlemiştir,6. Ceza Dairesi, 202123857,202120231
Sanık suçu haksız tahrik koşulları altında işlemiştir,6. Ceza Dairesi, 2021271,202119254
Sanık suçu haksız tahrik koşulları altında işlemiştir,6. Ceza Dairesi, 2021325,202119160
Sanık suçu olası kastla işlemiştir,1. Ceza Dairesi, 20204403,202114775
Sanık suçu olası kastla işlemiştir,1. Ceza Dairesi, 20204661,202115058
Sanık suçu olası kastla işlemiştir,1. Ceza Dairesi, 202110728,202114799
Sanık suçu olası kastla işlemiştir,1. Ceza Dairesi, 202112105,202115162
Sanık suçu olası kastla işlemiştir,1. Ceza Dairesi, 202112205,202115195
Sanık suçu olası kastla işlemiştir,1. Ceza Dairesi, 20216968,202115135
Sanık suçu olası kastla işlemiştir,1. Ceza Dairesi, 20217538,202115163
Sanık suçu olası kastla işlemiştir,1. Ceza Dairesi, 20218218,202115262
Sanık suçu olası kastla işlemiştir,1. Ceza Dairesi, 20218429,202115051
Sanık suçu olası kastla işlemiştir,1. Ceza Dairesi, 20219483,202114987
Sanığın cezai ehliyeti bulunmamaktadır,1. Ceza Dairesi, 202110388,202114952
Sanığın cezai ehliyeti bulunmamaktadır,1. Ceza Dairesi, 202110583,202115136
Sanığın cezai ehliyeti bulunmamaktadır,1. Ceza Dairesi, 202110757,202114750
Sanığın cezai ehliyeti bulunmamaktadır,1. Ceza Dairesi, 202111808,202115021
Sanığın cezai ehliyeti bulunmamaktadır,1. Ceza Dairesi, 202112136,202115221
Sanığın cezai ehliyeti bulunmamaktadır,1. Ceza Dairesi, 20218596,202114755
Sanığın cezai ehliyeti bulunmamaktadır,1. Ceza Dairesi, 20218866,202114845
Sanığın cezai ehliyeti bulunmamaktadır,1. Ceza Dairesi, 20218900,202114949
Sanığın cezai ehliyeti bulunmamaktadır,1. Ceza Dairesi, 20219473,202115244
Sanığın cezai ehliyeti bulunmamaktadır,1. Ceza Dairesi, 20219829,202114964
Sanığın cinayeti tasarlayarak işlediği anlaşılmaktadır,1. Ceza Dairesi, 20204956,202115132
Sanığın cinayeti tasarlayarak işlediği anlaşılmaktadır,1. Ceza Dairesi, 202110408,202115157
Sanığın cinayeti tasarlayarak işlediği anlaşılmaktadır,1. Ceza Dairesi, 202110415,202115225
Sanığın cinayeti tasarlayarak işlediği anlaşılmaktadır,1. Ceza Dairesi, 202111030,202114907
Sanığın cinayeti tasarlayarak işlediği anlaşılmaktadır,1. Ceza Dairesi, 202111074,202115047
Sanığın cinayeti tasarlayarak işlediği anlaşılmaktadır,1. Ceza Dairesi, 202111088,202114920
Sanığın cinayeti tasarlayarak işlediği anlaşılmaktadır,1. Ceza Dairesi, 2021216,202115203
Sanığın cinayeti tasarlayarak işlediği anlaşılmaktadır,1. Ceza Dairesi, 20216332,202115202
Sanığın cinayeti tasarlayarak işlediği anlaşılmaktadır,1. Ceza Dairesi, 20217021,202114986
Sanığın cinayeti tasarlayarak işlediği anlaşılmaktadır,1. Ceza Dairesi, 20218931,202114904
Sanığın eylemi ifade özgürlüğünün sınırları içinde kalmaktadır,19. Ceza Dairesi, 20171813,20181133
Sanığın eylemi ifade özgürlüğünün sınırları içinde kalmaktadır,19. Ceza Dairesi, 20174268,20184828
Sanığın eylemi ifade özgürlüğünün sınırları içinde kalmaktadır,4. Ceza Dairesi, 201224272,20142145
Sanığın eylemi ifade özgürlüğünün sınırları içinde kalmaktadır,4. Ceza Dairesi, 2012801,201327431
Sanığın eylemi ifade özgürlüğünün sınırları içinde kalmaktadır,4. Ceza Dairesi, 202011361,2021482
Sanığın eylemi ifade özgürlüğünün sınırları içinde kalmaktadır,4. Ceza Dairesi, 202013706,202118735
Sanığın eylemi ifade özgürlüğünün sınırları içinde kalmaktadır,4. Ceza Dairesi, 202018492,202014009
Sanığın eylemi ifade özgürlüğünün sınırları içinde kalmaktadır,4. Ceza Dairesi, 202024245,2021472
Sanığın eylemi ifade özgürlüğünün sınırları içinde kalmaktadır,4. Ceza Dairesi, 202034939,20219068
Sanığın eylemi ifade özgürlüğünün sınırları içinde kalmaktadır,4. Ceza Dairesi, 202120115,202122780
Sanığın eylemi meşru müdafaa niteliğindedir,1. Ceza Dairesi, 202110444,202115260
Sanığın eylemi meşru müdafaa niteliğindedir,1. Ceza Dairesi, 202110478,202115253
Sanığın eylemi meşru müdafaa niteliğindedir,1. Ceza Dairesi, 202110520,202115179
Sanığın eylemi meşru müdafaa niteliğindedir,1. Ceza Dairesi, 202111695,202115264
Sanığın eylemi meşru müdafaa niteliğindedir,1. Ceza Dairesi, 202111771,202115265
Sanığın eylemi meşru müdafaa niteliğindedir,1. Ceza Dairesi, 202112073,202115257
Sanığın eylemi meşru müdafaa niteliğindedir,1. Ceza Dairesi, 202112271,202115241
Sanığın eylemi meşru müdafaa niteliğindedir,1. Ceza Dairesi, 20216341,202115278
Sanığın eylemi meşru müdafaa niteliğindedir,1. Ceza Dairesi, 20217317,202115267
Sanığın eylemi meşru müdafaa niteliğindedir,1. Ceza Dairesi, 20218178,202115287
Sanığın eylemi nitelikli hırsızlık olarak değerlendirilmelidir,6. Ceza Dairesi, 20214332,202120726
Sanığın eylemi nitelikli hırsızlık olarak değerlendirilmelidir,6. Ceza Dairesi, 20214805,202120727
Sanığın eylemi nitelikli hırsızlık olarak değerlendirilmelidir,6. Ceza Dairesi, 20214806,202120721
Sanığın eylemi nitelikli hırsızlık olarak değerlendirilmelidir,6. Ceza Dairesi, 20214826,202120714
Sanığın eylemi nitelikli hırsızlık olarak değerlendirilmelidir,6. Ceza Dairesi, 20214862,202120704
Sanığın eylemi nitelikli hırsızlık olarak değerlendirilmelidir,6. Ceza Dairesi, 20214864,202120705
Sanığın eylemi nitelikli hırsızlık olarak değerlendirilmelidir,6. Ceza Dairesi, 20214865,202120706
Sanığın eylemi nitelikli hırsızlık olarak değerlendirilmelidir,6. Ceza Dairesi, 20214868,202120707
Sanığın eylemi nitelikli hırsızlık olarak değerlendirilmelidir,6. Ceza Dairesi, 20214873,202120709
Sanığın eylemi nitelikli hırsızlık olarak değerlendirilmelidir,6. Ceza Dairesi, 20215854,202120708
Sanığın mağdura gönderdiği mesajlar cinsel taciz niteliğindedir,12. Ceza Dairesi, 201910291,20206962
Sanığın mağdura gönderdiği mesajlar cinsel taciz niteliğindedir,14. Ceza Dairesi, 2014595,20157890
Sanığın mağdura gönderdiği mesajlar cinsel taciz niteliğindedir,14. Ceza Dairesi, 20151251,2018314
Sanığın mağdura gönderdiği mesajlar cinsel taciz niteliğindedir,14. Ceza Dairesi, 20169046,2021920
Sanığın mağdura gönderdiği mesajlar cinsel taciz niteliğindedir,18. Ceza Dairesi, 20188014,201915438
Sanığın mağdura gönderdiği mesajlar cinsel taciz niteliğindedir,2. Ceza Dairesi, 20105819,20124117
Sanığın mağdura gönderdiği mesajlar cinsel taciz niteliğindedir,4. Ceza Dairesi, 201523115,2018293
Sanığın mağdura gönderdiği mesajlar cinsel taciz niteliğindedir,4. Ceza Dairesi, 2019393,202122331
Sanığın mağdura gönderdiği mesajlar cinsel taciz niteliğindedir,8. Ceza Dairesi, 20192625,202018334
Sanığın mağdura gönderdiği mesajlar cinsel taciz niteliğindedir,9. Hukuk Dairesi, 201520326,201528093
Sözleşmede yer alan hüküm haksız şart niteliğindedir,3. Hukuk Dairesi, 202011473,20219711
Sözleşmede yer alan hüküm haksız şart niteliğindedir,3. Hukuk Dairesi, 20206805,20218932
Sözleşmede yer alan hüküm haksız şart niteliğindedir,3. Hukuk Dairesi, 2021117,202110797
Sözleşmede yer alan hüküm haksız şart niteliğindedir,3. Hukuk Dairesi, 20212436,202111968
Sözleşmede yer alan hüküm haksız şart niteliğindedir,3. Hukuk Dairesi, 20212595,202112115
Sözleşmede yer alan hüküm haksız şart niteliğindedir,3. Hukuk Dairesi, 20213678,202112886
Sözleşmede yer alan hüküm haksız şart niteliğindedir,3. Hukuk Dairesi, 2021435,202111398
Sözleşmede yer alan hüküm haksız şart niteliğindedir,3. Hukuk Dairesi, 20216310,202111809
Sözleşmede yer alan hüküm haksız şart niteliğindedir,3. Hukuk Dairesi, 20217043,202112881
Sözleşmede yer alan hüküm haksız şart niteliğindedir,3. Hukuk Dairesi, 2021924,202111189
Tasarrufun saklı pay kurallarını ihlal etmek amacıyla yapıldığı anlaşılmaktadır,1. Hukuk Dairesi, 20194763,20216617
Tasarrufun saklı pay kurallarını ihlal etmek amacıyla yapıldığı anlaşılmaktadır,1. Hukuk Dairesi, 20202293,20216615
Tasarrufun saklı pay kurallarını ihlal etmek amacıyla yapıldığı anlaşılmaktadır,1. Hukuk Dairesi, 20211357,20216478
Tasarrufun saklı pay kurallarını ihlal etmek amacıyla yapıldığı anlaşılmaktadır,1. Hukuk Dairesi, 2021152,20216386
Tasarrufun saklı pay kurallarını ihlal etmek amacıyla yapıldığı anlaşılmaktadır,1. Hukuk Dairesi, 20211543,20216732
Tasarrufun saklı pay kurallarını ihlal etmek amacıyla yapıldığı anlaşılmaktadır,1. Hukuk Dairesi, 20211862,20217020
Tasarrufun saklı pay kurallarını ihlal etmek amacıyla yapıldığı anlaşılmaktadır,1. Hukuk Dairesi, 2021200,20216716
Tasarrufun saklı pay kurallarını ihlal etmek amacıyla yapıldığı anlaşılmaktadır,1. Hukuk Dairesi, 20212301,20216664
Tasarrufun saklı pay kurallarını ihlal etmek amacıyla yapıldığı anlaşılmaktadır,1. Hukuk Dairesi, 20212545,20216840
Tasarrufun saklı pay kurallarını ihlal etmek amacıyla yapıldığı anlaşılmaktadır,1. Hukuk Dairesi, 20217391,20216887
Taşınmaz aile konutu niteliğindedir,1. Hukuk Dairesi, 20192035,20206137
Taşınmaz aile konutu niteliğindedir,1. Hukuk Dairesi, 20201159,20202848
Taşınmaz aile konutu niteliğindedir,1. Hukuk Dairesi, 20201704,20203726
Taşınmaz aile konutu niteliğindedir,1. Hukuk Dairesi, 20202848,20205945
Taşınmaz aile konutu niteliğindedir,1. Hukuk Dairesi, 20203070,20214313
Taşınmaz aile konutu niteliğindedir,1. Hukuk Dairesi, 2020567,20212284
Taşınmaz aile konutu niteliğindedir,1. Hukuk Dairesi, 2020855,20211928
Taşınmaz aile konutu niteliğindedir,1. Hukuk Dairesi, 20211982,20216144
Taşınmaz aile konutu niteliğindedir,1. Hukuk Dairesi, 20212101,20213388
Taşınmaz aile konutu niteliğindedir,1. Hukuk Dairesi, 20217008,20217290
